archivo,nombre_carol,sku_dermaland,nombre_dermaland,similitud
"sesderma-azelac-ru-gel-cream-trx-50-ml-116960.webp","SESDERMA AZELAC RU GEL CREAM TRX 50 ML","DERM-I01089","Sesderma Azelac RU GEL Crema 50 ML","0.63"
"sesderma-reti-age-anti-edad-serum-30-ml-22603.webp","SESDERMA RETI-AGE ANTI-EDAD SERUM 30 ML","DERM-I01140","Sesderma Reti AGE Serum Rejuvenecedor 30 ML","0.63"
"toleriane-purifying-foaming-cleanser-400-ml-114771.webp","TOLERIANE PURIFYING FOAMING CLEANSER 400 ML","DERM-I00850","LA Roche-posay Toleriane Purifying Foaming Cleanser 400 ML","0.63"
"acm-depiwhite-m-40-ml-crema-protectora-spf50-104227.webp","ACM DEPIWHITE. M 40 ML CREMA PROTECTORA SPF50+","DERM-I00022","ACM Depiwhite. M Crema Protectora CON Color 50+ 40ML","0.6"
"babe-aceite-regenerador-15-ml-omegas-3-6-9-20192.webp","BABE ACEITE REGENERADOR 15 ML OMEGAS 3, 6 & 9","DERM-I00168","Babe Aceite Regenerador Omega 3,6 Y 9","0.6"
"cicaplast-baume-la-roche-posay-b5-5-40-ml-balsamo-12150.webp","CICAPLAST BAUME LA ROCHE-POSAY B5 5% 40 ML BALSAMO","DERM-I00809","LA Roche-posay Cicaplast Balm B5 40 ML","0.6"
"ducray-anaphase-shampoo-200-ml-18621.webp","DUCRAY ANAPHASE SHAMPOO 200 ML","DERM-I00390","Ducray Elution Shampoo 200 ML","0.6"
"endocare-tensage-crema-30-ml-23250.webp","ENDOCARE TENSAGE CREMA 30 ML","DERM-I00435","Endocare GEL Crema 30 ML","0.6"
"endocare-tensage-serum-30-ml-20141.webp","ENDOCARE TENSAGE SERUM 30 ML","DERM-I00438","Endocare Retinol Serum 30 ML","0.6"
"eucerin-hyaluron-filler-elasticity-50-ml-crema-facial-noche-116984.webp","EUCERIN HYALURON FILLER+ELASTICITY 50 ML CREMA FACIAL NOCHE","DERM-I00483","Eucerin Hyaluron-filler + Elasticity Crema Facial Noche 50ML","0.6"
"eucerin-hyaluron-filler-crema-de-noche-50-ml-20052.webp","EUCERIN HYALURON-FILLER CREMA DE NOCHE 50 ML","DERM-I00483","Eucerin Hyaluron-filler + Elasticity Crema Facial Noche 50ML","0.6"
"la-roche-posay-lipikar-ap-balm-intense-repair-400-ml-106715.webp","LA ROCHE-POSAY LIPIKAR AP+ BALM INTENSE REPAIR 400 ML","DERM-I00831","LA Roche-posay Lipikar Wash AP+ 400 ML","0.6"
"la-roche-posay-micellar-water-ultra-400-ml-105427.webp","LA ROCHE-POSAY MICELLAR WATER ULTRA 400 ML","DERM-I00816","LA Roche-posay Effaclar EAU Micelar Water Ultra 400 ML","0.6"
"uriage-depiderm-spf50-30-ml-20180.webp","URIAGE DEPIDERM SPF50 30 ML","DERM-I01262","Uriage Depiderm SPF 50+ 30 ML","0.6"
"uriage-depiderm-spf50-30-ml-20180.webp","URIAGE DEPIDERM SPF50 30 ML","DERM-I01261","Uriage Depiderm Serum 30 ML","0.6"
"eucerin-hyaluron-filler-elasticity-crema-facial-dia-fps-15-116980.webp","EUCERIN HYALURON-FILLER + ELASTICITY CREMA FACIAL DIA FPS 15","DERM-I00483","Eucerin Hyaluron-filler + Elasticity Crema Facial Noche 50ML","0.58"
"avene-cleanance-limpiador-cara-cuerpo-400-ml-gel-81517.webp","AVENE CLEANANCE LIMPIADOR CARA/CUERPO 400 ML GEL","DERM-I00130","Avene Cleanance GEL 400 ML","0.57"
"babe-4538-jabon-de-aceite-500-ml-20076.webp","BABE 4538 JABON DE ACEITE 500 ML","DERM-I00171","Babe Balsamo DE Aceite 500 ML","0.57"
"babe-costra-lactea-200-ml-shampoo-pediatrico-20073.webp","BABE COSTRA LACTEA 200 ML SHAMPOO PEDIATRICO","DERM-I00173","Babe Champu Costra Lactea 200 ML","0.57"
"bioderma-atoderm-intensive-gel-moussant-200-ml-104778.webp","BIODERMA ATODERM INTENSIVE GEL MOUSSANT 200 ML","DERM-I00262","Bioderma Sensibio GEL Moussant 200 ML","0.57"
"bioderma-atoderm-intensive-gel-moussant-200-ml-104778.webp","BIODERMA ATODERM INTENSIVE GEL MOUSSANT 200 ML","DERM-I00222","Bioderma Atoderm GEL Douche 200 ML","0.57"
"bioderma-sensibio-h2o-solucion-micellaire-500-ml-116751.webp","BIODERMA SENSIBIO H2O SOLUCION MICELLAIRE 500 ML","DERM-I00266","Bioderma Sensibio H2O 500 ML Bomba","0.57"
"heliocare-360-oil-free-compactobeige-20292.webp","HELIOCARE 360 OIL-FREE COMPACTOBEIGE","DERM-I00579","Heliocare 360 GEL Oil-free SPF 50","0.57"
"heliocare-gel-ultra-spf-90-protector-solar-50-ml-19717.webp","HELIOCARE GEL ULTRA SPF 90 PROTECTOR SOLAR 50 ML","DERM-I00597","Heliocare Ultra GEL SPF 90","0.57"
"la-roche-posay-tolerain-200-ml-19562.webp","LA ROCHE-POSAY TOLERAIN 200 ML","DERM-I00811","LA Roche-posay Clarifying Solution 200 ML","0.57"
"sesderma-acglicolic-8-gel-hidratante-50-ml-15355.webp","SESDERMA ACGLICOLIC 8% GEL HIDRATANTE 50 ML","DERM-I01087","Sesderma Azelac GEL Hidratante 50 ML","0.57"
"sesderma-acglicolic-8-gel-hidratante-50-ml-15355.webp","SESDERMA ACGLICOLIC 8% GEL HIDRATANTE 50 ML","DERM-I01124","Sesderma Mandelac GEL Hidratante 50 ML","0.57"
"sesderma-acglicolic-8-gel-hidratante-50-ml-15355.webp","SESDERMA ACGLICOLIC 8% GEL HIDRATANTE 50 ML","DERM-I01144","Sesderma Salises GEL Hidratante 50 ML","0.57"
"sesderma-dryses-desodorante-de-hombre-80-ml-20040.webp","SESDERMA DRYSES DESODORANTE DE HOMBRE 80 ML","DERM-I01104","Sesderma Dryses Desodorante Hombre 75 ML","0.57"
"sesderma-dryses-desodorante-de-mujer-80-ml-20039.webp","SESDERMA DRYSES DESODORANTE DE MUJER 80 ML","DERM-I01105","Sesderma Dryses Desodorante Mujer 75 ML","0.57"
"sesderma-estryses-body-locion-antiestrias-200-ml-116971.webp","SESDERMA ESTRYSES BODY LOCION ANTIESTRIAS 200 ML","DERM-I01107","Sesderma Estryses Locion Antiestrias 2X1","0.57"
