archivo,nombre_carol,sku_dermaland,nombre_dermaland,similitud
"babe-healthyaging-multi-accion-crema-pieles-maduras-50-ml-122517.webp","BABE HEALTHYAGING MULTI ACCIÓN CREMA PIELES MADURAS 50 ML","DERM-I00194","Babe Healthyaging+multi Acción Crema Pieles Maduras 50 ML","0.67"
"darrow-actine-fps-50-tono-3-medio-oscuro-40-gr-131268.webp","DARROW ACTINE FPS 50 TONO 3 MEDIO OSCURO 40 GR","DERM-I00359","Darrow Actine Tono Medio FPS 50","0.67"
"darrow-doctar-plus-shampoo-nf-120-ml-131230.webp","DARROW DOCTAR PLUS SHAMPOO NF 120 ML","DERM-I00361","Darrow Doctar Plus 120 ML","0.67"
"ducray-creastim-locion-anticaida-60-ml-127623.webp","DUCRAY CREASTIM LOCION ANTICAIDA 60 ML","DERM-I00389","Ducray Creastim Reactiv Locion 60 ML","0.67"
"ducray-keracnyl-glycolic-crema-30-ml-124707.webp","DUCRAY KERACNYL GLYCOLIC CREMA 30 ML","DERM-I00395","Ducray Keracnyl Glycolic+ Crema 30ML","0.67"
"ducray-keracnyl-matificante-30-ml-crema-122451.webp","DUCRAY KERACNYL MATIFICANTE 30 ML CREMA","DERM-I00395","Ducray Keracnyl Glycolic+ Crema 30ML","0.67"
"ducray-melascreen-concentrado-antimanchas-30-ml-130293.webp","DUCRAY MELASCREEN CONCENTRADO ANTIMANCHAS 30 ML","DERM-I00402","Ducray Melascreen Concentrado Despigmentante 30 ML","0.67"
"eucerin-anti-pigment-contorno-de-ojos-15-ml-gel-129061.webp","EUCERIN ANTI-PIGMENT CONTORNO DE OJOS 15 ML GEL","DERM-I00455","Eucerin Anti-pigmento Contorno DE Ojos 15 ML","0.67"
"eucerin-hydro-fluid-spf50-50-ml-127793.webp","EUCERIN HYDRO FLUID SPF50+ 50 ML","DERM-I00489","Eucerin Hydro Fluid SPF 50 50 ML","0.67"
"filorga-hydra-aox-30-ml-serum-129730.webp","FILORGA HYDRA-AOX 30 ML SERUM","DERM-I00513","Filorga Hydra-hyal Serum 30 ML","0.67"
"filorga-ncef-reverse-crema-50-ml-129747.webp","FILORGA NCEF-REVERSE CREMA 50 ML","DERM-I00518","Filorga Ncef-revitalize Crema 50 ML","0.67"
"heliocare-360-invisible-spray-200-ml-121036.webp","HELIOCARE 360 INVISIBLE SPRAY 200 ML","DERM-I00588","Heliocare 360 Spray Invisible SPF 50","0.67"
"isdin-essential-cleansing-200-ml-gel-limpiador-129811.webp","ISDIN ESSENTIAL CLEANSING 200 ML GEL LIMPIADOR","DERM-I00674","Isdin Essential Cleansing 200 ML","0.67"
"isdin-micellar-solution-400-ml-124617.webp","ISDIN MICELLAR SOLUTION 400 ML","DERM-I00704","Isdin Micellar Solution 4 EN 1 400 ML","0.67"
"isdin-retinal-intense-50-ml-135307.webp","ISDIN RETINAL INTENSE 50 ML","DERM-I00701","Isdin Isdinceutics Retinal Intense Serum 50 ML","0.67"
"isdinceutics-flavo-c-serum-30-ml-124633.webp","ISDINCEUTICS FLAVO C SERUM 30 ML","DERM-I00710","Isdinceutics Flavo-c Serum 30 ML.","0.67"
"isispharma-neotone-sensitive-balsamo-intenso-30-ml-121879.webp","ISISPHARMA NEOTONE SENSITIVE BALSAMO INTENSO 30 ML","DERM-I00733","Isispharma Neotone Sensitive 30ML","0.67"
"la-roche-posay-anthelios-mineral-tinted-spf-40-deep-50-ml-154031.webp","LA ROCHE POSAY ANTHELIOS MINERAL TINTED SPF 40 DEEP 50 ML","DERM-I00806","LA Roche-posay Anthelios Tinted Mineral Medium Light Fluid SPF 40 50 ML","0.67"
"la-roche-posay-hyalu-b5-eyes-serum-15-ml-154033.webp","LA ROCHE POSAY HYALU B5 EYES SERUM 15 ML","DERM-I00789","LA Roche Posay Hyalu B5 EYE Serum","0.67"
